start_station_id,cluster_label
1,2
2,0
3,2
4,2
5,0
6,2
7,2
8,0
9,2
10,2
11,2
12,0
13,2
14,3
15,2
16,2
17,0
18,0
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,0
29,2
30,2
31,2
32,0
33,2
34,2
36,0
37,2
38,2
39,0
40,2
41,2
42,2
43,2
44,2
45,2
46,0
47,0
48,0
49,2
50,2
51,2
52,2
53,2
54,2
55,0
56,2
57,2
58,2
60,2
61,2
62,2
63,2
64,0
65,2
66,0
67,2
68,0
69,2
70,2
71,0
72,2
73,0
74,0
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,0
84,2
85,0
86,2
87,2
88,0
89,2
90,2
91,2
92,2
93,2
94,0
95,0
96,2
97,2
98,0
99,0
100,2
101,0
102,0
103,2
104,0
105,2
106,2
107,0
108,0
109,0
110,2
111,1
112,2
113,2
114,0
115,0
116,0
117,2
118,2
119,0
120,2
121,2
122,2
123,2
124,2
125,2
126,0
127,2
128,2
129,0
130,1
131,2
132,0
133,0
134,0
135,0
136,0
138,0
139,2
140,0
141,2
142,2
143,2
144,0
145,2
146,2
148,2
149,0
150,2
151,2
152,2
153,1
154,3
155,2
156,2
157,0
158,2
159,0
160,0
161,2
162,2
163,0
164,2
165,2
166,0
167,0
168,2
169,0
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,0
178,2
180,0
181,2
182,2
183,0
184,2
185,2
186,0
187,2
188,2
189,2
190,2
191,1
192,0
193,0
194,1
195,0
196,2
197,2
199,0
200,2
201,2
202,0
203,0
204,2
206,0
207,2
208,2
209,2
210,0
211,2
212,2
213,1
214,2
215,0
216,2
217,0
218,2
219,0
220,2
221,2
222,0
223,0
224,0
225,0
226,0
227,2
228,0
229,0
230,2
231,2
232,2
233,0
234,2
235,2
236,2
237,2
238,2
239,0
240,2
242,2
243,2
244,2
245,2
246,0
247,2
248,1
249,2
250,2
251,0
252,0
253,0
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,0
267,2
268,2
269,2
270,0
271,0
272,0
273,2
274,2
275,2
276,2
277,2
278,1
279,2
280,2
281,2
282,0
283,2
284,2
286,2
287,2
288,0
289,2
290,0
291,2
292,0
293,2
294,2
295,2
296,2
297,2
298,0
299,2
300,1
301,0
302,0
303,1
306,2
307,1
308,2
309,0
310,2
311,2
312,2
313,0
314,2
315,0
316,0
317,2
318,0
319,2
320,2
321,0
322,2
323,2
324,2
325,2
326,0
327,2
328,2
329,0
330,2
331,0
332,2
333,2
334,2
335,2
336,2
337,2
338,0
339,2
340,0
341,0
343,2
344,2
345,0
347,2
348,2
349,2
350,1
351,2
352,2
353,2
354,0
356,0
357,2
358,2
359,2
360,0
361,3
362,2
363,2
364,2
365,2
366,2
367,2
368,0
370,2
371,2
372,2
373,2
374,3
375,2
376,0
377,2
378,2
379,2
380,2
381,2
382,2
383,0
384,2
386,0
387,0
388,0
389,2
390,2
392,2
393,2
394,2
395,0
396,2
397,0
398,2
399,2
400,2
401,2
402,2
403,2
404,1
405,0
409,0
410,2
411,0
412,2
419,0
420,2
421,2
423,2
424,2
425,2
426,2
427,0
428,0
430,2
431,2
432,2
433,2
435,2
436,0
437,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,0
449,0
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,0
458,2
459,0
460,2
461,2
462,0
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
475,2
476,2
477,2
478,0
479,2
480,0
481,0
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,0
494,2
495,0
496,2
497,2
498,2
499,2
500,0
501,2
502,0
503,0
504,2
505,2
506,2
507,2
508,0
509,2
510,0
511,0
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,0
522,2
523,2
524,2
526,2
527,2
528,2
529,2
530,2
531,0
532,2
533,2
534,0
535,0
536,2
537,2
538,2
539,2
540,0
541,1
542,2
543,2
544,2
545,2
546,0
547,2
548,2
549,2
550,2
551,2
552,2
553,1
554,2
556,2
557,2
558,0
559,2
560,2
561,2
562,2
563,2
564,1
565,2
566,2
568,0
569,2
570,0
571,2
572,0
573,0
574,0
576,2
577,2
578,2
579,0
580,2
581,2
583,0
584,2
586,2
587,0
588,2
589,0
590,2
592,2
593,2
594,2
595,2
596,0
597,2
598,2
599,2
600,0
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,0
611,2
612,2
613,0
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,1
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,0
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,0
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,0
659,2
660,2
661,0
662,2
663,2
664,2
665,2
666,2
667,2
668,0
669,2
670,2
671,2
673,2
674,2
675,2
676,2
677,2
678,2
679,2
680,0
681,2
682,0
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,2
691,0
692,0
693,2
694,2
695,0
696,2
697,2
698,2
699,2
700,2
701,2
702,2
703,0
704,2
705,2
706,0
707,2
708,2
709,2
710,0
711,2
712,2
713,2
714,2
715,2
716,2
717,0
718,2
719,0
720,2
721,2
722,2
723,0
724,2
725,2
726,2
727,2
728,2
729,2
730,0
731,2
732,0
733,2
734,2
735,2
736,2
737,0
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,2
746,2
747,2
748,2
749,0
750,2
751,2
754,2
755,2
756,0
757,2
758,2
759,2
760,2
761,2
762,1
763,2
764,2
765,2
766,2
767,2
768,0
769,2
770,2
771,2
772,0
773,0
774,2
775,2
776,2
777,2
779,2
780,0
781,2
782,2
783,0
784,0
785,1
786,0
787,0
789,1
790,0
792,2
793,2
795,2
796,2
797,2
798,2
799,2
800,0
801,2
802,2
803,2
804,0
805,2
806,2
807,0
809,2
810,2
811,0
812,0
813,2
814,2
815,0
816,2
817,0
818,1
819,2
820,2
821,0
826,0
827,2
828,2
829,2
830,2
831,2
832,0
833,0
834,0
835,2
836,2
838,2
839,0
